,dataset,method,W_train,W_test,R2_real,R2_fake,R2_comb,F1_real,F1_fake,F1_comb,coverage_train,coverage_test,time,R2_lin_real,R2_lin_fake,R2_lin_comb,F1_lin_real,F1_lin_fake,F1_lin_comb,R2_linboost_real,R2_linboost_fake,R2_linboost_comb,F1_linboost_real,F1_linboost_fake,F1_linboost_comb,R2_tree_real,R2_tree_fake,R2_tree_comb,F1_tree_real,F1_tree_fake,F1_tree_comb,R2_treeboost_real,R2_treeboost_fake,R2_treeboost_comb,F1_treeboost_real,F1_treeboost_fake,F1_treeboost_comb
13,yeast,HS3F,0.20161588,0.34076137,0.0,0.0,0.0,0.55534979,0.45528533,0.51914636,0.88374052,0.91245791,164.356931,0.0,0.0,0.0,0.57269447,0.55157935,0.57548769,0.0,0.0,0.0,0.5075317,0.31820551,0.34558471,0.0,0.0,0.0,0.58238495,0.44984696,0.58525495,0.0,0.0,0.0,0.55878803,0.50150952,0.57025807
14,libras,HS3F,6.50941508,10.0921724,0.0,0.0,0.0,0.5820165,0.49556525,0.60648729,0.87152778,0.90277778,3442.97647,0.0,0.0,0.0,0.69410293,0.67014911,0.75452621,0.0,0.0,0.0,0.07314211,0.08494098,0.11331217,0.0,0.0,0.0,0.81883183,0.68618966,0.82179894,0.0,0.0,0.0,0.74198912,0.54098124,0.73631184
15,planning_relax,HS3F,0.84539612,1.36428881,0.0,0.0,0.0,0.43920149,0.46362059,0.52750419,0.89655172,0.94594595,59.8279622,0.0,0.0,0.0,0.37288136,0.50134771,0.52155172,0.0,0.0,0.0,0.35134799,0.42546584,0.46376812,0.0,0.0,0.0,0.5057224,0.48266879,0.57749413,0.0,0.0,0.0,0.52685422,0.445,0.5472028
16,blood_transfusion,HS3F,0.13651415,0.16196227,0.0,0.0,0.0,0.5692214,0.52556573,0.54370584,0.9632107,0.95333333,22.6147971,0.0,0.0,0.0,0.55207674,0.48423224,0.52934662,0.0,0.0,0.0,0.64583333,0.5463816,0.58812616,0.0,0.0,0.0,0.5310551,0.54247092,0.53275627,0.0,0.0,0.0,0.54792043,0.52917814,0.52459432
17,breast_cancer_diagnostic,HS3F,1.2768544,1.77810025,0.0,0.0,0.0,0.95065429,0.93319522,0.94593239,0.91648352,0.97368421,551.398095,0.0,0.0,0.0,0.95263814,0.94448052,0.96265968,0.0,0.0,0.0,0.94398952,0.94286669,0.93494742,0.0,0.0,0.0,0.9436879,0.93967971,0.95117505,0.0,0.0,0.0,0.96230159,0.90575397,0.93494742
18,connectionist_bench_vowel,HS3F,0.47595945,0.78248308,0.0,0.0,0.0,0.65566451,0.62447383,0.6607107,0.84469697,0.94444444,250.867036,0.0,0.0,0.0,0.6774086,0.68080576,0.65651796,0.0,0.0,0.0,0.09193994,0.09638319,0.14240778,0.0,0.0,0.0,0.96017768,0.88277514,0.94575351,0.0,0.0,0.0,0.89313183,0.83793125,0.89816355
19,concrete_slump,HS3F,0.58228522,1.0261082,0.8479047,0.8006769,0.86094218,0.0,0.0,0.0,0.87804878,1.0,15.6409507,0.8373695,0.80136894,0.82377674,0.0,0.0,0.0,0.82470969,0.80240554,0.83640839,0.0,0.0,0.0,0.85086167,0.83364231,0.88442973,0.0,0.0,0.0,0.87867795,0.76529082,0.89915384,0.0,0.0,0.0
20,wine_quality_red,HS3F,0.4180615,0.5100738,0.34171994,0.29822335,0.35439052,0.0,0.0,0.0,0.84988272,0.984375,213.754835,0.33163399,0.31928004,0.33474587,0.0,0.0,0.0,0.30465346,0.31119383,0.3142716,0.0,0.0,0.0,0.43451917,0.35946632,0.44730382,0.0,0.0,0.0,0.29607314,0.20295321,0.32124078,0.0,0.0,0.0
21,wine_quality_white,HS3F,0.43018287,0.50223138,0.34566149,0.25849927,0.35376257,0.0,0.0,0.0,0.84430832,0.96836735,715.560206,0.25134768,0.24439155,0.25600392,0.0,0.0,0.0,0.27675092,0.24094868,0.27586468,0.0,0.0,0.0,0.45854573,0.30354828,0.45662963,0.0,0.0,0.0,0.39600165,0.24510856,0.42655206,0.0,0.0,0.0
22,tictactoe,HS3F,0.79765013,2.06891862,0.0,0.0,0.0,0.94087269,0.93605817,0.94198812,0.66579634,0.19791667,6.92298102,0.0,0.0,0.0,0.98845599,0.98274571,0.98845599,0.0,0.0,0.0,0.79918351,0.8042564,0.80143453,0.0,0.0,0.0,0.98731393,0.96298199,0.98960598,0.0,0.0,0.0,0.98853731,0.99424857,0.98845599
23,congress,HS3F,1.21264368,2.61781609,0.0,0.0,0.0,0.95744108,0.94258579,0.95136915,0.87356322,0.86206897,7.90650392,0.0,0.0,0.0,0.93860268,0.92758047,0.93860268,0.0,0.0,0.0,0.96359325,0.95172031,0.95117845,0.0,0.0,0.0,0.96397516,0.95172031,0.96397516,0.0,0.0,0.0,0.96359325,0.93932208,0.95172031
24,car,HS3F,0.42547033,1.07061058,0.0,0.0,0.0,0.82721811,0.80593038,0.83018849,0.63386397,0.41040462,17.4497721,0.0,0.0,0.0,0.85415425,0.85479271,0.86887806,0.0,0.0,0.0,0.58516727,0.54302434,0.54302434,0.0,0.0,0.0,0.8923119,0.88375352,0.91309401,0.0,0.0,0.0,0.97723901,0.94215094,0.99575753
